name,gr,gr_per,sc,sc_per,cscs,cscs_per,N
eris_0,-4.814192,26.632911392405063,5.94061,98.9873417721519,1.1264181,26.075949367088608,515
eris_1,-4.9989552,14.177215189873417,5.978135,99.29113924050633,0.97917986,14.025316455696203,277
eris_2,-4.9656153,15.49367088607595,5.9780912,99.29113924050633,1.012476,15.18987341772152,300
eris_3,-4.7874575,29.518987341772153,5.6099677,95.49367088607595,0.82251024,26.68354430379747,527
eris_4,-4.744685,33.67088607594937,5.9923234,99.29113924050633,1.2476382,33.265822784810126,657
eris_5,-4.8478703,22.88607594936709,5.5696535,94.9873417721519,0.72178316,20.253164556962027,400
eris_6,-4.902688,18.531645569620252,6.129545,99.49367088607595,1.2268572,18.27848101265823,361
eris_7,-5.2151785,6.8354430379746836,6.02046,99.39240506329114,0.80528164,6.734177215189874,133
eris_8,-5.058815,12.151898734177216,5.7355995,97.56962025316456,0.6767845,11.645569620253164,230
eris_9,-4.775319,31.037974683544302,5.804201,98.27848101265823,1.028882,29.924050632911392,591
eris_10,-4.9818115,14.784810126582279,6.038089,99.39240506329114,1.0562773,14.58227848101266,288
eris_11,-4.832391,24.759493670886076,6.0254607,99.39240506329114,1.1930699,24.455696202531644,483
eris_12,-5.0803747,11.037974683544304,5.9589014,99.0886075949367,0.8785267,10.886075949367088,215
eris_13,-4.5367084,59.74683544303797,5.7930036,98.27848101265823,1.2562952,58.379746835443036,1153
eris_14,-4.744685,33.67088607594937,5.920104,98.88607594936708,1.1754189,33.0126582278481,652
eris_15,-4.9795904,14.987341772151899,5.779402,97.9746835443038,0.79981136,14.329113924050633,283
eris_16,-4.9656043,15.49367088607595,5.9911537,99.29113924050633,1.0255494,15.18987341772152,300
eris_17,-4.9722924,15.189873417721518,5.9776006,99.29113924050633,1.0053082,14.936708860759493,295
eris_18,-5.176974,7.544303797468355,6.0424595,99.39240506329114,0.86548567,7.443037974683545,147
eris_19,-4.7709026,31.39240506329114,5.5764375,95.0886075949367,0.80553484,28.20253164556962,557
eris_20,-4.7951484,28.658227848101266,5.9667096,99.13924050632912,1.1715612,28.10126582278481,555
eris_21,-4.882737,19.89873417721519,5.7298408,97.56962025316456,0.8471036,18.531645569620252,366
eris_22,-4.9989552,14.177215189873417,6.1349835,99.49367088607595,1.1360283,14.126582278481012,279
eris_23,-4.992048,14.278481012658228,6.115919,99.49367088607595,1.1238713,14.227848101265822,281
eris_24,-4.97416,15.189873417721518,6.0286555,99.39240506329114,1.0544953,14.987341772151899,296
eris_25,-4.9144115,17.82278481012658,6.159875,99.54430379746836,1.2454634,17.569620253164555,347
eris_26,-4.974663,15.189873417721518,5.897379,98.83544303797468,0.92271614,14.835443037974683,293
eris_27,-4.87663,20.303797468354432,5.8165984,98.43037974683544,0.9399686,19.443037974683545,384
eris_28,-4.744685,33.67088607594937,5.8034716,98.27848101265823,1.0587864,32.55696202531645,643
eris_29,-4.7197003,35.54430379746835,5.825137,98.53164556962025,1.1054368,34.63291139240506,684
eris_30,-4.605287,46.48101265822785,6.1067705,99.49367088607595,1.5014834,46.22784810126582,913
eris_31,-4.744685,33.67088607594937,6.0397635,99.39240506329114,1.2950783,33.36708860759494,659
eris_32,-4.939312,16.455696202531644,6.088189,99.44303797468355,1.1488771,16.253164556962023,321
eris_33,-4.711623,36.050632911392405,5.959975,99.0886075949367,1.2483516,35.44303797468354,700
eris_34,-4.814192,26.632911392405063,5.8086576,98.32911392405063,0.9944658,25.67088607594937,507
eris_35,-4.978662,15.037974683544304,5.788122,98.22784810126582,0.80946016,14.430379746835442,285
eris_36,-4.897084,18.78481012658228,6.125882,99.49367088607595,1.2287979,18.531645569620252,366
eris_37,-4.9177265,17.569620253164558,6.077838,99.44303797468355,1.1601114,17.367088607594937,343
eris_38,-4.9989552,14.177215189873417,5.8571777,98.68354430379746,0.8582225,13.822784810126581,273
eris_39,-4.93384,16.70886075949367,5.8264937,98.53164556962025,0.89265394,16.10126582278481,318
eris_40,-4.7874575,29.518987341772153,5.744782,97.56962025316456,0.9573245,27.89873417721519,551
eris_41,-4.7709026,31.39240506329114,6.011716,99.39240506329114,1.2408133,31.088607594936708,614
eris_42,-4.8051624,27.59493670886076,5.9087114,98.88607594936708,1.103549,26.987341772151897,533
eris_43,-4.9665904,15.49367088607595,5.985777,99.29113924050633,1.0191865,15.18987341772152,300
eris_44,-4.95162,15.949367088607595,5.970984,99.18987341772151,1.0193639,15.594936708860759,308
eris_45,-5.8757257,1.3164556962025316,5.6631374,96.60759493670886,-0.21258831,1.3164556962025316,26
eris_46,-4.963923,15.544303797468354,5.9833508,99.29113924050633,1.0194278,15.240506329113924,301
eris_47,-4.9334393,16.70886075949367,6.2219963,99.59493670886076,1.288557,16.556962025316455,327
eris_48,-4.8311644,24.911392405063292,5.8628654,98.73417721518987,1.0317011,24.202531645569618,478
eris_49,-4.7874575,29.518987341772153,5.853713,98.68354430379746,1.0662556,28.658227848101266,566
eris_50,-4.840371,23.544303797468356,5.9457645,98.9873417721519,1.1053934,22.987341772151897,454
